country_noc,medal_count
URS,374.0
EUN,291.0
GDR,217.0
USA,178.38888888888889
FRG,131.0
ROC,103.0
GER,95.76470588235294
RUS,92.0
CHN,71.55555555555556
YUG,69.0
AUS,66.11111111111111
CAN,61.666666666666664
FRA,55.22222222222222
GBR,52.833333333333336
BRA,52.6
ITA,47.72222222222222
ESP,47.25
NED,45.833333333333336
JPN,43.44444444444444
KOR,40.72222222222222
CUB,40.333333333333336
NOR,34.333333333333336
HUN,32.833333333333336
ROU,31.7
SWE,29.944444444444443
SRB,29.8
ARG,27.4
TCH,26.0
FIN,23.294117647058822
DEN,23.09090909090909
SCG,22.0
PAR,22.0
NZL,21.5
FIJ,17.666666666666668
UKR,17.357142857142858
POL,17.125
JAM,16.6
AUT,16.0
NGR,16.0
SUI,15.5
MNE,15.0
CRO,13.923076923076923
CZE,12.266666666666667
BUL,11.23076923076923
GHA,10.5
KEN,10.2
GRE,10.2
BLR,10.066666666666666
RSA,9.0
MEX,9.0
TPE,7.777777777777778
LTU,7.777777777777778
IND,7.5
ISL,7.5
BEL,7.3076923076923075
AZE,7.0
TUR,6.9
DOM,6.833333333333333
KAZ,6.6923076923076925
PRK,6.625
SVK,6.461538461538462
CHI,6.0
PAK,6.0
AIN,6.0
IRI,5.9
GEO,5.875
ETH,5.777777777777778
UZB,5.555555555555555
CMR,5.5
INA,5.2
BAH,4.75
SLO,4.733333333333333
PER,4.666666666666667
IRL,4.5
BOT,4.333333333333333
ISR,4.25
MAR,4.1
SMR,4.0
THA,3.9
EGY,3.8333333333333335
COL,3.7777777777777777
LAT,3.75
TTO,3.6666666666666665
ZIM,3.5
KGZ,3.25
HKG,3.2
ARM,3.142857142857143
MAS,3.142857142857143
EST,2.8181818181818183
ECU,2.75
ALG,2.5714285714285716
POR,2.5555555555555554
IOA,2.5
MGL,2.3333333333333335
KSA,2.3333333333333335
SGP,2.25
VEN,2.2
MDA,2.2
TUN,2.1666666666666665
BRN,2.0
PHI,2.0
UGA,2.0
LUX,2.0
LCA,2.0
ALB,2.0
TJK,1.75
KOS,1.6666666666666667
NAM,1.6666666666666667
QAT,1.6666666666666667
GUA,1.5
CIV,1.3333333333333333
CRC,1.3333333333333333
PUR,1.3333333333333333
JOR,1.3333333333333333
GRN,1.25
VIE,1.25
UAE,1.0
BER,1.0
ZAM,1.0
CPV,1.0
BDI,1.0
BUR,1.0
TOG,1.0
TKM,1.0
BAR,1.0
URU,1.0
TGA,1.0
EOR,1.0
SYR,1.0
ISV,1.0
MKD,1.0
LIE,1.0
MOZ,1.0
MRI,1.0
KUW,1.0
NIG,1.0
AHO,1.0
PAN,1.0
GAB,1.0
CYP,1.0
SAM,1.0
ERI,1.0
SEN,1.0
DMA,1.0
SRI,1.0
SUD,1.0
DJI,1.0
SUR,1.0
AFG,1.0
