country_noc,medal_count
USA,3211
GER,1628
CHN,1288
AUS,1190
CAN,1110
RUS,1104
FRA,994
GBR,951
ITA,859
NED,825
JPN,782
KOR,733
NOR,618
ESP,567
SWE,539
BRA,526
FIN,396
HUN,394
URS,374
CUB,363
ROU,317
ROC,309
EUN,291
SUI,279
ARG,274
POL,274
AUT,272
NZL,258
DEN,254
UKR,243
GDR,217
CZE,184
CRO,181
JAM,166
BLR,151
SRB,149
BUL,146
FRG,131
NGR,112
GRE,102
KEN,102
BEL,95
MEX,90
KAZ,87
SVK,84
RSA,81
SLO,71
TPE,70
LTU,70
TUR,69
YUG,69
SCG,66
IND,60
IRI,59
AZE,56
FIJ,53
PRK,53
INA,52
TCH,52
ETH,52
UZB,50
GEO,47
LAT,45
MAR,41
DOM,41
THA,39
BAH,38
IRL,36
COL,34
ISR,34
EST,31
CHI,30
EGY,23
POR,23
ARM,22
TTO,22
MAS,22
CMR,22
PAR,22
MGL,21
GHA,21
PAK,18
ALG,18
HKG,16
MNE,15
ISL,15
PER,14
TUN,13
BOT,13
KGZ,13
PHI,12
ECU,11
MDA,11
VEN,11
QAT,10
SGP,9
PUR,8
UGA,8
BRN,8
TJK,7
ZIM,7
KSA,7
AIN,6
NAM,5
GRN,5
VIE,5
IOA,5
KOS,5
JOR,4
SMR,4
CIV,4
CRC,4
KUW,3
GUA,3
SYR,3
PAN,2
CYP,2
UAE,2
BDI,2
ALB,2
ZAM,2
SUR,2
AFG,2
MOZ,2
MKD,2
LUX,2
LIE,2
LCA,2
SUD,1
SRI,1
MRI,1
BAR,1
URU,1
BER,1
BUR,1
SAM,1
CPV,1
AHO,1
SEN,1
DJI,1
TOG,1
TKM,1
DMA,1
EOR,1
TGA,1
ERI,1
ISV,1
NIG,1
GAB,1
