sport,prev_n,curr_n,year_prev,year_curr,absolute_change,relative_change_pct
Badminton,32.0,177.0,1988,1992,145.0,453.125
Nordic Combined,46.0,53.0,1992,1994,7.0,15.217391304347828
Athletics,0.0,2090.0,1994,1996,2090.0,
Ice Hockey,0.0,441.0,1996,1998,441.0,
Athletics,0.0,2164.0,1998,2000,2164.0,
Ice Hockey,0.0,485.0,2000,2002,485.0,
Athletics,0.0,2109.0,2002,2004,2109.0,
Ice Hockey,0.0,447.0,2004,2006,447.0,
Athletics,0.0,2156.0,2006,2008,2156.0,
Ice Hockey,0.0,444.0,2008,2010,444.0,
Athletics,0.0,2097.0,2010,2012,2097.0,
Ice Hockey,0.0,468.0,2012,2014,468.0,
Athletics,0.0,2283.0,2014,2016,2283.0,
Ice Hockey,0.0,496.0,2016,2018,496.0,
Athletics,0.0,2013.0,2018,2020,2013.0,
Ice Hockey,0.0,538.0,2020,2022,538.0,
