year,sport,F,M,prop_f
1988,Alpine Skiing,100.0,192.0,0.3424657534246575
1988,Archery,62.0,84.0,0.4246575342465753
1988,Artistic Gymnastics,90.0,89.0,0.5027932960893855
1988,Artistic Swimming,46.0,0.0,1.0
1988,Athletics,583.0,1096.0,0.34723049434187014
1988,Badminton,16.0,16.0,0.5
1988,Baseball,0.0,151.0,0.0
1988,Basketball,96.0,144.0,0.4
1988,Biathlon,0.0,90.0,0.0
1988,Bobsleigh,0.0,135.0,0.0
1988,Bowling,12.0,12.0,0.5
1988,Boxing,0.0,440.0,0.0
1988,Canoe Sprint,64.0,210.0,0.23357664233576642
1988,Cross Country Skiing,83.0,147.0,0.36086956521739133
1988,Curling,36.0,40.0,0.47368421052631576
1988,Cycling Road,53.0,212.0,0.2
1988,Cycling Track,12.0,159.0,0.07017543859649122
1988,Diving,40.0,49.0,0.449438202247191
1988,Equestrian Dressage,37.0,16.0,0.6981132075471698
1988,Equestrian Eventing,10.0,40.0,0.2
1988,Equestrian Jumping,7.0,73.0,0.0875
1988,Fencing,69.0,251.0,0.215625
1988,Figure Skating,66.0,63.0,0.5116279069767442
1988,Football,0.0,314.0,0.0
1988,Freestyle Skiing,17.0,37.0,0.3148148148148148
1988,Handball,120.0,180.0,0.4
1988,Hockey,128.0,192.0,0.4
1988,Ice Hockey,0.0,274.0,0.0
1988,Judo,53.0,243.0,0.17905405405405406
1988,Luge,24.0,66.0,0.26666666666666666
1988,Modern Pentathlon,0.0,65.0,0.0
1988,Nordic Combined,0.0,44.0,0.0
1988,Rhythmic Gymnastics,39.0,0.0,1.0
1988,Rowing,195.0,400.0,0.3277310924369748
1988,Sailing,44.0,331.0,0.11733333333333333
1988,Shooting,111.0,285.0,0.2803030303030303
1988,Short Track Speed Skating,32.0,32.0,0.5
1988,Ski Jumping,0.0,65.0,0.0
1988,Speed Skating,54.0,88.0,0.38028169014084506
1988,Swimming,253.0,385.0,0.39655172413793105
1988,Table Tennis,48.0,81.0,0.37209302325581395
1988,Taekwondo,63.0,119.0,0.34615384615384615
1988,Tennis,48.0,83.0,0.366412213740458
1988,Volleyball,96.0,144.0,0.4
1988,Water Polo,0.0,156.0,0.0
1988,Weightlifting,0.0,226.0,0.0
1988,Wrestling,0.0,429.0,0.0
1992,Alpine Skiing,113.0,212.0,0.3476923076923077
1992,Archery,61.0,75.0,0.4485294117647059
1992,Artistic Gymnastics,92.0,93.0,0.4972972972972973
1992,Artistic Swimming,53.0,0.0,1.0
1992,Athletics,634.0,1123.0,0.3608423449060899
1992,Badminton,84.0,93.0,0.4745762711864407
1992,Baseball,0.0,160.0,0.0
1992,Basketball,96.0,144.0,0.4
1992,Basque pelota,11.0,110.0,0.09090909090909091
1992,Biathlon,80.0,116.0,0.40816326530612246
1992,Bobsleigh,0.0,159.0,0.0
1992,Boxing,0.0,339.0,0.0
1992,Canoe Slalom,26.0,109.0,0.1925925925925926
1992,Canoe Sprint,79.0,226.0,0.25901639344262295
1992,Cross Country Skiing,84.0,139.0,0.37668161434977576
1992,Curling,40.0,40.0,0.5
1992,Cycling Road,57.0,226.0,0.20141342756183744
1992,Cycling Track,28.0,167.0,0.14358974358974358
1992,Diving,54.0,46.0,0.54
1992,Equestrian Dressage,37.0,11.0,0.7708333333333334
1992,Equestrian Eventing,17.0,65.0,0.2073170731707317
1992,Equestrian Jumping,13.0,74.0,0.14942528735632185
1992,Fencing,71.0,235.0,0.23202614379084968
1992,Figure Skating,66.0,67.0,0.49624060150375937
1992,Football,0.0,320.0,0.0
1992,Freestyle Skiing,49.0,77.0,0.3888888888888889
1992,Handball,127.0,190.0,0.40063091482649843
1992,Hockey,128.0,192.0,0.4
1992,Ice Hockey,0.0,275.0,0.0
1992,Judo,163.0,270.0,0.37644341801385683
1992,Luge,24.0,65.0,0.2696629213483146
1992,Modern Pentathlon,0.0,66.0,0.0
1992,Nordic Combined,0.0,46.0,0.0
1992,Rhythmic Gymnastics,42.0,0.0,1.0
1992,Roller Hockey,0.0,120.0,0.0
1992,Rowing,191.0,437.0,0.304140127388535
1992,Sailing,84.0,357.0,0.19047619047619047
1992,Shooting,117.0,290.0,0.28746928746928746
1992,Short Track Speed Skating,50.0,52.0,0.49019607843137253
1992,Ski Jumping,0.0,63.0,0.0
1992,Speed Skating,60.0,95.0,0.3870967741935484
1992,Speed Skiing,20.0,45.0,0.3076923076923077
1992,Swimming,256.0,388.0,0.39751552795031053
1992,Table Tennis,79.0,80.0,0.4968553459119497
1992,Taekwondo,50.0,63.0,0.4424778761061947
1992,Tennis,87.0,91.0,0.4887640449438202
1992,Volleyball,96.0,143.0,0.401673640167364
1992,Water Polo,0.0,156.0,0.0
1992,Weightlifting,0.0,244.0,0.0
1992,Wrestling,0.0,370.0,0.0
1994,Alpine Skiing,113.0,140.0,0.44664031620553357
1994,Biathlon,94.0,99.0,0.48704663212435234
1994,Bobsleigh,0.0,155.0,0.0
1994,Cross Country Skiing,80.0,117.0,0.40609137055837563
1994,Figure Skating,66.0,63.0,0.5116279069767442
1994,Freestyle Skiing,46.0,53.0,0.46464646464646464
1994,Ice Hockey,0.0,276.0,0.0
1994,Luge,25.0,67.0,0.2717391304347826
1994,Nordic Combined,0.0,53.0,0.0
1994,Short Track Speed Skating,48.0,53.0,0.4752475247524752
1994,Ski Jumping,0.0,68.0,0.0
1994,Speed Skating,61.0,89.0,0.4066666666666667
1996,Archery,64.0,64.0,0.5
1996,Artistic Gymnastics,105.0,111.0,0.4861111111111111
1996,Artistic Swimming,73.0,0.0,1.0
1996,Athletics,770.0,1320.0,0.3684210526315789
1996,Badminton,96.0,96.0,0.5
1996,Baseball,0.0,160.0,0.0
1996,Basketball,144.0,144.0,0.5
1996,Beach Volleyball,36.0,48.0,0.42857142857142855
1996,Boxing,0.0,355.0,0.0
1996,Canoe Slalom,30.0,104.0,0.22388059701492538
1996,Canoe Sprint,91.0,226.0,0.2870662460567823
1996,Cycling Mountain Bike,29.0,43.0,0.4027777777777778
1996,Cycling Road,59.0,189.0,0.23790322580645162
1996,Cycling Track,42.0,137.0,0.2346368715083799
1996,Diving,56.0,66.0,0.45901639344262296
1996,Equestrian Dressage,32.0,17.0,0.6530612244897959
1996,Equestrian Eventing,24.0,64.0,0.2727272727272727
1996,Equestrian Jumping,10.0,72.0,0.12195121951219512
1996,Fencing,88.0,136.0,0.39285714285714285
1996,Football,152.0,349.0,0.3033932135728543
1996,Handball,128.0,191.0,0.4012539184952978
1996,Hockey,128.0,192.0,0.4
1996,Judo,151.0,236.0,0.39018087855297157
1996,Modern Pentathlon,0.0,32.0,0.0
1996,Rhythmic Gymnastics,90.0,0.0,1.0
1996,Rowing,205.0,403.0,0.3371710526315789
1996,Sailing,100.0,358.0,0.2183406113537118
1996,Shooting,125.0,293.0,0.29904306220095694
1996,Softball,120.0,0.0,1.0
1996,Swimming,342.0,419.0,0.44940867279894875
1996,Table Tennis,81.0,85.0,0.4879518072289157
1996,Tennis,85.0,93.0,0.47752808988764045
1996,Volleyball,144.0,144.0,0.5
1996,Water Polo,0.0,156.0,0.0
1996,Weightlifting,0.0,243.0,0.0
1996,Wrestling,0.0,401.0,0.0
1998,Alpine Skiing,109.0,143.0,0.43253968253968256
1998,Biathlon,87.0,96.0,0.47540983606557374
1998,Bobsleigh,0.0,156.0,0.0
1998,Cross Country Skiing,102.0,127.0,0.44541484716157204
1998,Curling,40.0,40.0,0.5
1998,Figure Skating,72.0,73.0,0.496551724137931
1998,Freestyle Skiing,52.0,59.0,0.46846846846846846
1998,Ice Hockey,120.0,321.0,0.272108843537415
1998,Luge,29.0,64.0,0.3118279569892473
1998,Nordic Combined,0.0,53.0,0.0
1998,Short Track Speed Skating,50.0,53.0,0.4854368932038835
1998,Ski Jumping,0.0,68.0,0.0
1998,Snowboarding,56.0,69.0,0.448
1998,Speed Skating,79.0,92.0,0.4619883040935672
2000,Archery,64.0,64.0,0.5
2000,Artistic Gymnastics,97.0,97.0,0.5
2000,Artistic Swimming,101.0,0.0,1.0
2000,Athletics,893.0,1271.0,0.41266173752310537
2000,Badminton,85.0,87.0,0.4941860465116279
2000,Baseball,0.0,192.0,0.0
2000,Basketball,144.0,144.0,0.5
2000,Beach Volleyball,48.0,48.0,0.5
2000,Boxing,0.0,310.0,0.0
2000,Canoe Slalom,20.0,63.0,0.24096385542168675
2000,Canoe Sprint,61.0,186.0,0.24696356275303644
