year,golds,silvers,bronzes,total_medals
1896,89,65,73,227
1900,263,284,257,804
1904,322,306,311,939
1906,0,0,0,0
1908,415,363,358,1136
1912,484,467,455,1406
1920,732,686,601,2019
1924,639,553,543,1735
1928,489,485,492,1466
1932,442,423,380,1245
1936,574,561,559,1694
1948,548,554,551,1653
1952,563,553,581,1697
1956,535,521,546,1602
1960,546,533,560,1639
1964,586,583,603,1772
1968,593,586,597,1776
1972,675,655,719,2049
1976,706,701,743,2150
1980,724,724,767,2215
1984,775,756,808,2339
1988,1844,1836,1994,5674
1992,2038,2018,2296,6352
1994,408,408,408,1224
1996,1756,1738,1860,5354
1998,508,502,510,1520
2000,1956,1964,2058,5978
2002,546,534,540,1620
2004,1976,1968,2082,6026
2006,580,580,582,1742
2008,2028,2018,2208,6254
2010,556,560,552,1668
2012,1988,1978,2174,6140
2014,680,676,672,2028
2016,2070,2060,2258,6388
2018,802,794,776,2372
2020,2408,2372,2720,7500
2022,854,832,792,2478
2024,0,0,0,0
