country,Bronze,Gold,Silver,Total
USA,1397,2861,1575,5833
GBR,800,786,820,2406
URS,611,848,646,2105
GER,760,638,623,2021
FRA,660,572,729,1961
ITA,511,563,520,1594
AUS,623,415,531,1569
CHN,340,463,437,1240
HUN,413,460,352,1225
NED,466,353,365,1184
SWE,364,367,434,1165
JPN,386,327,374,1087
CAN,412,212,297,921
RUS,321,289,261,871
GDR,231,348,290,869
ROU,302,175,213,690
ESP,200,159,309,668
KOR,220,212,234,666
DEN,210,190,264,664
NOR,198,233,199,630
BRA,250,148,231,629
POL,269,132,225,626
FRG,204,146,176,526
BEL,180,133,198,511
FIN,217,130,125,472
CUB,134,184,137,455
SUI,148,96,192,436
YUG,92,135,185,412
ARG,134,100,126,360
BUL,149,63,146,358
NZL,97,146,101,344
TCH,108,80,145,333
IND,87,144,30,261
EUN,69,96,65,230
UKR,120,48,62,230
JAM,50,51,93,194
GRE,63,41,78,182
AUT,56,28,93,177
CRO,41,62,67,170
RSA,67,35,55,157
MEX,88,36,30,154
SRB,72,46,31,149
ROC,27,41,80,148
PAK,34,53,54,141
KEN,41,44,48,133
BLR,65,18,45,128
NGR,52,29,39,120
TUR,43,41,30,114
CZE,42,24,29,95
IRI,32,27,29,88
KAZ,40,15,24,79
URU,30,44,2,76
PRK,39,16,20,75
TPE,28,11,34,73
LTU,54,6,10,70
SCG,26,13,27,66
ETH,23,24,15,62
AZE,31,9,16,56
IRL,23,17,13,53
FIJ,13,26,14,53
INA,18,15,19,52
SVK,16,14,20,50
POR,29,7,14,50
UZB,23,18,8,49
EST,25,13,10,48
GEO,19,13,15,47
ANZ,5,36,4,45
MAR,31,8,5,44
BAH,15,16,11,42
DOM,29,4,9,42
THA,19,11,11,41
CHI,25,4,10,39
EGY,19,9,11,39
SLO,16,11,11,38
COL,17,5,16,38
ISR,20,4,10,34
TTO,19,7,8,34
MGL,17,2,12,31
LAT,7,7,11,25
GHA,23,0,1,24
CMR,2,21,1,24
ZIM,1,18,4,23
PAR,0,0,22,22
ARM,9,2,11,22
MAS,10,0,12,22
ALG,9,7,4,20
VEN,9,3,7,19
PHI,10,3,5,18
TUN,8,6,4,18
ISL,2,0,15,17
HKG,8,4,4,16
PER,1,1,14,16
MNE,0,0,15,15
UGA,3,5,5,13
KGZ,8,0,5,13
BOT,5,1,7,13
PUR,8,2,2,12
MDA,7,0,4,11
ECU,2,4,5,11
SGP,5,1,4,10
QAT,6,2,2,10
BOH,9,0,1,10
BRN,1,4,3,8
WIF,7,0,0,7
KSA,5,0,2,7
TJK,5,1,1,7
HAI,5,0,1,6
AIN,1,1,4,6
VIE,1,1,3,5
GRN,3,1,1,5
KOS,1,3,1,5
LUX,0,3,2,5
CIV,3,1,1,5
NAM,0,0,5,5
IOA,3,1,1,5
CRC,2,1,1,4
JOR,1,1,2,4
SYR,2,1,1,4
PAN,2,1,1,4
LBN,2,0,2,4
SMR,2,0,2,4
GUA,1,1,1,3
KUW,3,0,0,3
ZAM,2,0,1,3
CYP,0,0,2,2
MKD,1,0,1,2
UAE,1,1,0,2
UAR,1,0,1,2
BER,1,1,0,2
BDI,0,1,1,2
ALB,2,0,0,2
TAN,0,0,2,2
SRI,0,0,2,2
AFG,2,0,0,2
MOZ,1,1,0,2
SUR,1,1,0,2
NIG,1,0,1,2
LCA,0,1,1,2
SEN,0,0,1,1
MRI,1,0,0,1
AHO,0,0,1,1
BAR,1,0,0,1
ISV,0,0,1,1
IRQ,1,0,0,1
GUY,1,0,0,1
SAM,0,0,1,1
DMA,0,1,0,1
DJI,1,0,0,1
ERI,1,0,0,1
BUR,1,0,0,1
MON,1,0,0,1
CPV,1,0,0,1
SUD,0,0,1,1
TOG,1,0,0,1
TKM,0,0,1,1
EOR,1,0,0,1
TGA,0,0,1,1
GAB,0,0,1,1
