continent,sport,n_medals
Africa,Athletics,264
Africa,Boxing,60
Africa,Swimming,30
Africa,Weightlifting,17
Africa,Taekwondo,12
Africa,Wrestling,9
Africa,Cycling Track,6
Africa,Tennis,6
Africa,Football,5
Africa,Judo,4
Asia,Wrestling,316
Asia,Weightlifting,190
Asia,Artistic Gymnastics,179
Asia,Judo,172
Asia,Swimming,136
Asia,Boxing,123
Asia,Shooting,91
Asia,Athletics,89
Asia,Diving,83
Asia,Badminton,82
Europe,Athletics,849
Europe,Wrestling,559
Europe,Fencing,482
Europe,Alpine Skiing,412
Europe,Cross Country Skiing,407
Europe,Swimming,405
Europe,Shooting,397
Europe,Artistic Gymnastics,378
Europe,Rowing,377
Europe,Canoe Sprint,361
North America,Athletics,1057
North America,Swimming,648
North America,Boxing,233
North America,Wrestling,188
North America,Diving,167
North America,Rowing,132
North America,Shooting,132
North America,Artistic Gymnastics,124
North America,Speed Skating,113
North America,Figure Skating,83
Oceania,Swimming,210
Oceania,Athletics,99
Oceania,Rowing,73
Oceania,Cycling Track,56
Oceania,Sailing,52
Oceania,Canoe Sprint,31
Oceania,Equestrian Eventing,24
Oceania,Diving,14
Oceania,Hockey,14
Oceania,Shooting,13
South America,Boxing,48
South America,Athletics,36
South America,Sailing,29
South America,Judo,28
South America,Swimming,21
South America,Football,17
South America,Weightlifting,16
South America,Volleyball,14
South America,Beach Volleyball,13
South America,Shooting,12
