code,current,name,name_short,name_tv,gender,function,country_code,country,nickname,medal_type,event,team,year,season
1532872,True,ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,White Bear,Silver,Men's Greco-Roman 97kg,,2024,Summer
1532873,True,AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,,Bronze,Men's Greco-Roman 77kg,,2024,Summer
1532874,True,GALSTYAN Slavik,GALSTYAN S,Slavik GALSTYAN,Male,Athlete,ARM,Armenia,,,,,2024,Summer
1532944,True,HARUTYUNYAN Arsen,HARUTYUNYAN A,Arsen HARUTYUNYAN,Male,Athlete,ARM,Armenia,,,,,2024,Summer
1532945,True,TEVANYAN Vazgen,TEVANYAN V,Vazgen TEVANYAN,Male,Athlete,ARM,Armenia,,,,,2024,Summer
1532951,True,ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,Athlete,COL,Colombia,,,,,2024,Summer
1533112,True,McKENZIE Ashley,McKENZIE A,Ashley McKENZIE,Male,Athlete,JAM,Jamaica,Bad Boy,,,,2024,Summer
1533136,True,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,Earlier in her career she was nicknamed the 'Poor Olympian' due to the financial challenges she faced,,,,2024,Summer
1533176,True,CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,,,,,2024,Summer
1533188,True,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Lizeth RUEDA SANTOS,Female,Athlete,MEX,Mexico,,,,,2024,Summer
1533189,True,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,,,,,2024,Summer
1533190,True,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,"Diamante Negro (Black Diamond), Martillo Xalapeno (Hammer from Xalapa, given to him by Spanish triathlete Javier Gomez Noya)",,,,2024,Summer
1533208,True,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,,,,,2024,Summer
1533209,True,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,,,,,2024,Summer
