code,current,name,name_short,gender,country_code,country,events,birth_country,other_sports,medal_type,year
1532872,True,ALEKSANYAN Artur,ALEKSANYAN A,Male,ARM,Armenia,"[""Men's Greco-Roman 97kg""]",Armenia,,Silver,2024
1532873,True,AMOYAN Malkhas,AMOYAN M,Male,ARM,Armenia,"[""Men's Greco-Roman 77kg""]",Armenia,,Bronze,2024
1532874,True,GALSTYAN Slavik,GALSTYAN S,Male,ARM,Armenia,"[""Men's Greco-Roman 67kg""]",,,,2024
1532944,True,HARUTYUNYAN Arsen,HARUTYUNYAN A,Male,ARM,Armenia,"[""Men's Freestyle 57kg""]",Armenia,,,2024
1532945,True,TEVANYAN Vazgen,TEVANYAN V,Male,ARM,Armenia,"[""Men's Freestyle 65kg""]",Armenia,,,2024
1532951,True,ARENAS Lorena,ARENAS L,Female,COL,Colombia,"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",Colombia,,,2024
1533112,True,McKENZIE Ashley,McKENZIE A,Male,JAM,Jamaica,['Men -60 kg'],Great Britain,,,2024
1533136,True,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Female,GAM,Gambia,"[""Women's 100m"", ""Women's 200m""]",Gambia,,,2024
1533176,True,CAMARA Ebrahima,CAMARA E,Male,GAM,Gambia,"[""Men's 100m""]",Gambia,,,2024
1533188,True,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Female,MEX,Mexico,"[""Women's Individual""]",Mexico,Competed in marathon swimming at London 2012. Finished 20th in the 10km. She also competed in the Marathon Swimming World Cup circuit and at multiple world championships,,2024
1533189,True,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Female,MEX,Mexico,"[""Women's Individual""]",Mexico,,,2024
1533190,True,GRAJALES Crisanto,GRAJALES C,Male,MEX,Mexico,"[""Men's Individual""]",Mexico,,,2024
1533208,True,MAAROUFOU Hachim,MAAROUFOU H,Male,COM,Comoros,"[""Men's 100m""]",France,,,2024
1533209,True,SAADI Maesha,SAADI M,Female,COM,Comoros,"[""Women's 50m Freestyle""]",France,,,2024
1533230,True,DIOSDADO Nuria,DIOSDADO N,Female,MEX,Mexico,"['Team', 'Duet']",Mexico,,,2024
1533231,True,JIMENEZ Joana,JIMENEZ J,Female,MEX,Mexico,"['Team', 'Duet']",Mexico,,,2024
1533232,True,SOBRINO Jessica,SOBRINO J,Female,MEX,Mexico,['Team'],Mexico,,,2024
1533234,True,ALFEREZ Regina,ALFEREZ R,Female,MEX,Mexico,['Team'],,,,2024
1533235,True,ARELLANO Fernanda,ARELLANO F,Female,MEX,Mexico,['Team'],,,,2024
1533237,True,TOSCANO Pamela,TOSCANO P,Female,MEX,Mexico,['Team'],,,,2024
1533239,True,GONZALEZ Itzamary,GONZALEZ I,Female,MEX,Mexico,['Team'],,,,2024
1533240,True,RODRIGUEZ Samanta,RODRIGUEZ S,Female,MEX,Mexico,['Team'],,,,2024
1533243,True,INZUNZA Glenda,INZUNZA G,Female,MEX,Mexico,['Team'],,,,2024
1533245,True,SEHEN Sajjad,SEHEN S,Male,IRQ,Iraq,['Men -81 kg'],Iraq,,,2024
1533359,True,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Male,IRQ,Iraq,"[""Men's +102kg""]",,,,2024
1533364,True,ISMAIL Mohamed,ISMAIL M,Male,DJI,Djibouti,"[""Men's 5000m""]",Djibouti,,,2024
1533371,True,HASSAN Ibrahim,HASSAN I,Male,DJI,Djibouti,"[""Men's Marathon""]",,,,2024
1533372,True,WAISS Abdi,WAISS A,Male,DJI,Djibouti,"[""Men's 5000m""]",Djibouti,,,2024
1533374,True,HASSAN NOUR Samiyah,HASSAN NOUR S,Female,DJI,Djibouti,"[""Women's 5000m""]",,,,2024
1533378,True,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Male,DJI,Djibouti,"[""Men's 50m Freestyle""]",,,,2024
1535180,True,BARAT Andy,BARAT A,Male,COM,Comoros,"[""Men's Kayak Single"", ""Men's Kayak Cross""]",Comoros,,,2024
1535186,True,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Male,MEX,Mexico,"[""Men's 63.5kg""]",Mexico,,,2024
1535187,True,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Male,MEX,Mexico,"[""Men's 71kg""]",Mexico,,Silver,2024
